页码,微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数
16,6399236386,NlQQPpHlS,拍照的桃桃,2023-10-01 17:11:03,很喜欢我的客妹们，好多人见面就像网友见面，有的还会给我带小礼物，喜欢这种当朋友看待而不是买卖双方的感觉。 很优秀的博士小姐姐 出镜：雨洁 湖南约拍湖南科技大学#湘潭约拍##湖南科技大学##古风写真##星汉灿烂# 湘潭·湖南科技大学 ,0,1,1
16,1725655341,NlIYwflN7,湘潭新鲜事,2023-09-30 21:08:01,【国庆气氛拉满！#湘潭高校军训摆战斗机方阵致敬先辈#】9月30日，湖南科技大学召开2023级学生军训成果汇报暨总结表彰大会，今年的军训新生们用队形表演的方式向祖国致敬，缅怀革命先辈的丰功伟绩。由23个学院，4000多人组成的队形表演，展现了两架歼—16D“潜龙”歼击机正在护航一架轰—6K“战神”轰炸 ...全文,6,10,57
16,1599589333,NlPe3xHwD,刘成春,2023-10-01 13:02:47,庆祝新中国成立74周年，湖南科技大学四千新生用队形表演的方式向祖国致敬，缅怀革命先辈的丰功伟绩。  #有一种自豪叫中国##国庆节快乐# 刘成春的微博视频 ,1,0,8
16,5520931316,NlPbiaKcX,用户5520931316,2023-10-01 12:55:58,【身着戎装，英姿飒爽！#湘潭高校军训摆战斗机方阵致敬先辈#】9月30日，在湖南科技大学2023级学生军训成果汇报暨总结表彰大会上，由23个学院，4000多人组成的队形表演，展现了两架歼—16D“潜龙”歼击机正在护航一架轰—6K“战神”轰炸机。湘潭新鲜事的微博视频 ,1,1,0
16,2192474323,NlP406QkU,农视网,2023-10-01 12:38:00,#三农头条# 【消费帮扶！湖南科技大学以实干助力乡村振兴】9月26日大清早，一辆满载农产品的大货车稳稳的停在湖南科技大学图书馆旁，车上满载5.5万余斤大米及其他农产品，车身的红色横幅“湖南科技大学专项采购洞口县农产品专车”格外醒目。这是湖南科技大学以消费帮扶助力乡村振兴的实际行动。  ...全文,0,0,1
16,7771363189,NlNDDFdH8,三农头条,2023-10-01 09:00:19,#三农头条# 【消费帮扶！湖南科技大学以实干助力乡村振兴】9月26日大清早，一辆满载农产品的大货车稳稳的停在湖南科技大学图书馆旁，车上满载5.5万余斤大米及其他农产品，车身的红色横幅“湖南科技大学专项采购洞口县农产品专车”格外醒目。这是湖南科技大学以消费帮扶助力乡村振兴的实际行动。  ...全文,0,0,1
17,7589055988,NlKCB5eoO,sweet樂le,2023-10-01 01:19:30,为什么凝晨写就是会开窍啊湖南科技大学改成半夜考行不行 ,0,3,4
17,7609580678,NlKrcDeGZ,社恐晨求救,2023-10-01 00:51:26,湖南科技大学 捞人10月1号凌晨起小绿回科大的三个美女，应该是刚刚吃完海底捞 ,0,0,0
17,7523790166,NlK2PnUJE,冰激凌奶酪棒,2023-09-30 23:51:22,湖南科技大学考研  出湖南科技大学学科语文835新换书本的资料～很全 ,0,2,0
17,6399236386,NlJpVymTo,拍照的桃桃,2023-09-30 22:15:33,本来打算拍的黄昏一直到快天黑才出门，拍成了夜景😂 从广东过来找我拍照的好朋友，上午还在打点滴下午一拍照就满血复活，我很好的默契的拍摄搭档 出镜：佩呸呸 #湘潭约拍##夜景拍摄#湖南约拍湖南科技大学#少女写真##复古写真##胶片感# 湘潭·湖南科技大学 ,0,0,1
17,5597452756,NlIH80r7N,校园碎片,2023-09-30 20:25:10,【#湖南高校用队形表演致敬祖国#】湖南科技大学四千新生用队形表演的方式向祖国致敬（via:@湖南科技大学 ）#湖南学子的军训回忆录##开学攻略#  长沙校园的微博视频 ,0,0,2
17,3976484565,NlEVU6b39,平顶山市教体局,2023-09-30 10:50:35,【#高校学生用积木修复墙面#】9月26日，湖南湘潭。湖南科技大学内一水泥墙面开裂受损，同学使用彩色积木进行修补，起重机等施工器材在墙面上摆饰细节满满，该区域已经成为同学们的打卡点。人民视频的微博视频 ,0,6,2
17,7874619145,NlE0k0kRu,归去的心海928,2023-09-30 08:28:43,湖南科技大学考研湖南科技大学考研艺术类，研究方向 音乐理论具体是啥😳，求学长学姐解答 ,0,0,2
17,7748677665,NlBgngrLo,布鲁blue0_-,2023-09-30 01:30:02,中秋快乐湖南科技大学 湘潭·湖南科技大学 ,0,0,1
17,6125001486,Nlzo4qaqd,自明诚熊,2023-09-29 20:43:30,湖南科技大学庄子《列御寇 》之十八  穷有八极，达有三必，形有六府。美、髯、长、大、壮、丽、勇、敢，八者俱过人也，因以是穷。缘循、偃佒、困畏不若人，三者俱通达。知慧外通，勇动多怨，仁义多责。达生之情者傀，达于知者肖，达大命者随，达小命者遭。  注释：①穷有八极，达有三必，形有 ...全文,0,0,0
17,5852493754,NlzlqlTQg,用户5852493754,2023-09-29 20:36:59,湖南科技大学求分析题题库 ,0,0,0
18,5852493754,NlzldrgNh,用户5852493754,2023-09-29 20:36:28,湖南科技大学求学科英语真题 ,0,0,0
18,5852493754,Nlzl1lwSq,用户5852493754,2023-09-29 20:35:59,湖南科技大学求司南839考研资料 ,0,0,0
18,5852493754,NlzkUdQIg,用户5852493754,2023-09-29 20:35:42,湖南科技大学求司南333统考资料 ,0,0,0
18,5852493754,NlzkNoT2E,用户5852493754,2023-09-29 20:35:26,湖南科技大学求333统考资料 ,0,1,0
18,5852493754,Nlzdy1MpV,用户5852493754,2023-09-29 20:17:34,湖南科技大学教育学考研求司南的最新333资料 ,0,0,0
18,5852493754,NlzcbtP3b,用户5852493754,2023-09-29 20:14:13,湖南科技大学教育学考研求学科英语的真题 ,0,1,0
18,5852493754,NlzbVqSHA,用户5852493754,2023-09-29 20:13:34,湖南科技大学教育学考研想要333统考选择题刷题库 ,0,0,0
18,5852493754,NlzbwDK0k,用户5852493754,2023-09-29 20:12:36,湖南科技大学教育学考研求839资料 ,0,0,0
18,5852493754,NlzbrDrpF,用户5852493754,2023-09-29 20:12:24,湖南科技大学教育学考研求司南333统考资料 ,0,1,0
18,2240451483,Nlw9Lb1DD,湖南科技大学微博协会,2023-09-29 12:30:00,#湖南科技大学微博协会超话# #湖南科技大学超话 #  中秋快乐！ 一起来吃湖科大牌专属月饼吧！ ,0,0,0
19,7273246623,Nlw62DAiH,脑干缺失的高度理想主义er,2023-09-29 12:20:51,湖南科技大学换学校了，出学科英语839资料（可送333） ,0,0,0
19,7776273390,NlviS3fPc,微风吹兰杜-l,2023-09-29 10:19:42,马克思主义理论    出湖南科技大学马克思马理论思政考研真题、背诵笔记、题库、视频课，需要的滴滴！！！  ,0,0,0
19,7269445367,NlpvImOvi,薯片女孩LIGHT,2023-09-28 19:34:52,湖南科技大学#微博新表情畅游# 我的运动记录 别管了 运动也是在划水的 ,0,0,0
19,5885539809,Nlpscp3sE,易悠岚LKD,2023-09-28 19:26:12,湖南科技大学微博协会#微博新表情畅游# 假期规划 已经旅游完啦 去看了大海 假期就回家躺平吧 ,0,0,1
19,3185352715,NloJVgKvj,武汉教育电视台,2023-09-28 17:37:07,【#给学校修墙的课程作业好酷#，这样的作业你想做吗？】湖南科技大学有一面墙出现了破损，近来，这面墙被人用“积木修墙”的方式修复翻新了！原来，这是该校2021级环境设计专业李韧、何鸿武、卢建、朱文韬、张新宇五位同学一起完成的公共艺术设计课程作业。作业的要求是：在一个公共的空间，设计一个可 ...全文,0,0,1
19,5245292540,NlotQyVt4,再努力一点呐_,2023-09-28 16:57:31,湖南科技大学 请问有文学的学姐学长吗？想找大三大四和研究生的学姐咨询一下 ,0,7,0
19,7742617048,NlohrlKir,月相漫漫,2023-09-28 16:26:57,湖南科技大学问问有没有以往十一在学校的，一号上午去高铁站路上堵车吗 ,0,0,0
19,6013716332,NlogqrxFy,正版洛夜,2023-09-28 16:24:27,湖南科技大学大佬们科大历史相关课程教科书都用的哪些呀 ,0,0,10
